BlockID StartX[Km] EndX[Km]
@183-blockSets1@ 53.942 54.243
@184-blockSets1@ 54.243 54.544
@185-blockSets1@ 54.544 54.845
@186-blockSets1@ 54.845 55.146
@187-blockSets1@ 55.146 55.447
@188-blockSets1@ 55.447 55.628
@189-blockSets1@ 55.628 55.949
@190-blockSets1@ 55.949 56.25
@191-blockSets1@ 56.25 56.601
@192-blockSets1@ 56.601 56.952
@193-blockSets1@ 56.952 57.253
@194-blockSets1@ 57.253 57.554
@195-blockSets1@ 57.554 57.855
@196-blockSets1@ 57.855 58.156
@197-blockSets1@ 58.156 58.457
@198-blockSets1@ 58.457 58.758
@199-blockSets1@ 58.758 59.059
@200-blockSets1@ 59.059 59.36
@201-blockSets1@ 59.36 59.661
@202-blockSets1@ 59.661 59.962
@203-blockSets1@ 59.962 60.263
@204-blockSets1@ 60.263 60.564
@205-blockSets1@ 60.564 60.865
@206-blockSets1@ 60.865 61.166
@207-blockSets1@ 61.166 61.467
@208-blockSets1@ 61.467 61.768
@209-blockSets1@ 61.768 62.069
@210-blockSets1@ 62.069 62.37
@211-blockSets1@ 62.37 62.671
@212-blockSets1@ 62.671 62.971
@213-blockSets1@ 62.971 63.271
@214-blockSets1@ 63.271 63.571
@215-blockSets1@ 63.571 63.871
@216-blockSets1@ 63.871 64.171
@217-blockSets1@ 64.171 64.471
@218-blockSets1@ 64.471 64.771
@219-blockSets1@ 64.771 65.071
@220-blockSets1@ 65.071 65.371
@221-blockSets1@ 65.371 65.671
@222-blockSets1@ 65.671 65.971
@223-blockSets1@ 65.971 66.271
@224-blockSets1@ 66.271 66.571
@225-blockSets1@ 66.571 66.869
@226-blockSets1@ 66.869 67.169
@227-blockSets1@ 67.169 67.469
@228-blockSets1@ 67.469 67.769
@229-blockSets1@ 67.769 67.975
@230-blockSets1@ 67.975 68.075
@0-blockSets2@ 29.132 29.332
@1-blockSets2@ 29.332 29.482
@0-blockSets3@ 34.07 34.27
@1-blockSets3@ 34.27 34.366
@0-blockSets4@ 44.229 44.43
@1-blockSets4@ 44.43 44.57
@0-blockSets5@ 68.847 69.047
@1-blockSets5@ 69.047 69.236
@0-blockSets6@ 2.82 3.121
@1-blockSets6@ 3.121 3.422
@2-blockSets6@ 3.422 3.723
@3-blockSets6@ 3.723 4.014
@4-blockSets6@ 4.014 4.324
@5-blockSets6@ 4.324 4.624
@6-blockSets6@ 4.624 4.924
@7-blockSets6@ 4.924 5.224
@8-blockSets6@ 5.224 5.524
@9-blockSets6@ 5.524 5.824
@10-blockSets6@ 5.824 6.124
@11-blockSets6@ 6.124 6.424
@12-blockSets6@ 6.424 6.724
@13-blockSets6@ 6.724 7.024
@14-blockSets6@ 7.024 7.324
@15-blockSets6@ 7.324 7.624
@16-blockSets6@ 7.624 7.924
@17-blockSets6@ 7.924 8.225
@18-blockSets6@ 8.225 8.526
@19-blockSets6@ 8.526 8.827
@20-blockSets6@ 8.827 9.128
@21-blockSets6@ 9.128 9.429
@22-blockSets6@ 9.429 9.73
@23-blockSets6@ 9.73 10.031
@24-blockSets6@ 10.031 10.332
@25-blockSets6@ 10.332 10.633
@26-blockSets6@ 10.633 10.934
@27-blockSets6@ 10.934 11.235
@28-blockSets6@ 11.235 11.536
@29-blockSets6@ 11.536 11.837
@30-blockSets6@ 11.837 12.138
@31-blockSets6@ 12.138 12.409
@32-blockSets6@ 12.409 12.68
@33-blockSets6@ 12.68 13.001
@34-blockSets6@ 13.001 13.322
@35-blockSets6@ 13.322 13.643
@36-blockSets6@ 13.643 13.944
@37-blockSets6@ 13.944 14.245
@38-blockSets6@ 14.245 14.546
@39-blockSets6@ 14.546 14.847
@40-blockSets6@ 14.847 15.148
@41-blockSets6@ 15.148 15.449
@42-blockSets6@ 15.449 15.75
@43-blockSets6@ 15.75 16.051
@44-blockSets6@ 16.051 16.351
@45-blockSets6@ 16.351 16.651
@46-blockSets6@ 16.651 16.951
@47-blockSets6@ 16.951 17.251
@48-blockSets6@ 17.251 17.401
@49-blockSets6@ 17.401 17.701
@50-blockSets6@ 17.701 18.001
@51-blockSets6@ 18.001 18.301
@52-blockSets6@ 18.301 18.601
@53-blockSets6@ 18.601 18.901
@54-blockSets6@ 18.901 19.201
@55-blockSets6@ 19.201 19.501
@56-blockSets6@ 19.501 19.801
@57-blockSets6@ 19.801 20.101
@58-blockSets6@ 20.101 20.401
@59-blockSets6@ 20.401 20.701
@60-blockSets6@ 20.701 21.001
@61-blockSets6@ 21.001 21.301
@62-blockSets6@ 21.301 21.601
@63-blockSets6@ 21.601 21.901
@64-blockSets6@ 21.901 22.201
@65-blockSets6@ 22.201 22.501
@66-blockSets6@ 22.501 22.601
@67-blockSets6@ 22.601 22.901
@68-blockSets6@ 22.901 23.201
@69-blockSets6@ 23.201 23.601
@70-blockSets6@ 23.601 23.801
@71-blockSets6@ 23.801 24.101
@72-blockSets6@ 24.101 24.401
@73-blockSets6@ 24.401 24.701
@74-blockSets6@ 24.701 25.001
@75-blockSets6@ 25.001 25.301
@76-blockSets6@ 25.301 25.601
@77-blockSets6@ 25.601 25.901
@78-blockSets6@ 25.901 26.201
@79-blockSets6@ 26.201 26.501
@80-blockSets6@ 26.501 26.801
@81-blockSets6@ 26.801 27.101
@82-blockSets6@ 27.101 27.401
@83-blockSets6@ 27.401 27.701
@84-blockSets6@ 27.701 27.851
@85-blockSets6@ 27.851 28.151
@86-blockSets6@ 28.151 28.451
@87-blockSets6@ 28.451 28.751
@88-blockSets6@ 28.751 29.051
@89-blockSets6@ 29.051 29.351
@90-blockSets6@ 29.351 29.651
@91-blockSets6@ 29.651 29.951
@92-blockSets6@ 29.951 30.251
@93-blockSets6@ 30.251 30.551
@94-blockSets6@ 30.551 30.851
@95-blockSets6@ 30.851 31.151
@96-blockSets6@ 31.151 31.451
@97-blockSets6@ 31.451 31.752
@98-blockSets6@ 31.752 32.053
@99-blockSets6@ 32.053 32.354
@100-blockSets6@ 32.354 32.655
@101-blockSets6@ 32.655 32.956
@102-blockSets6@ 32.956 33.257
@103-blockSets6@ 33.257 33.558
@104-blockSets6@ 33.558 33.859
@105-blockSets6@ 33.859 34.16
@106-blockSets6@ 34.16 34.461
@107-blockSets6@ 34.461 34.762
@108-blockSets6@ 34.762 35.063
@109-blockSets6@ 35.063 35.414
@110-blockSets6@ 35.414 35.665
@111-blockSets6@ 35.665 35.966
@112-blockSets6@ 35.966 36.267
@113-blockSets6@ 36.267 36.568
@114-blockSets6@ 36.568 36.869
@115-blockSets6@ 36.869 37.17
@116-blockSets6@ 37.17 37.471
@117-blockSets6@ 37.471 37.772
@118-blockSets6@ 37.772 38.073
@119-blockSets6@ 38.073 38.374
@120-blockSets6@ 38.374 38.675
@121-blockSets6@ 38.675 38.976
@122-blockSets6@ 38.976 39.277
@123-blockSets6@ 39.277 39.578
@124-blockSets6@ 39.578 39.879
@125-blockSets6@ 39.879 40.18
@126-blockSets6@ 40.18 40.481
@127-blockSets6@ 40.481 40.782
@128-blockSets6@ 40.782 41.083
@129-blockSets6@ 41.083 41.334
@130-blockSets6@ 41.334 41.654
@131-blockSets6@ 41.654 41.901
@132-blockSets6@ 41.901 42.051
@0-blockSets7@ 2.82 3.121
@1-blockSets7@ 3.121 3.422
@2-blockSets7@ 3.422 3.723
@3-blockSets7@ 3.723 4.014
@4-blockSets7@ 4.014 4.324
@5-blockSets7@ 4.324 4.624
@6-blockSets7@ 4.624 4.924
@7-blockSets7@ 4.924 5.224
@8-blockSets7@ 5.224 5.524
@9-blockSets7@ 5.524 5.824
@10-blockSets7@ 5.824 6.124
@11-blockSets7@ 6.124 6.424
@12-blockSets7@ 6.424 6.724
@13-blockSets7@ 6.724 7.024
@14-blockSets7@ 7.024 7.324
@15-blockSets7@ 7.324 7.624
@16-blockSets7@ 7.624 7.924
@17-blockSets7@ 7.924 8.225
@18-blockSets7@ 8.225 8.526
@19-blockSets7@ 8.526 8.827
@20-blockSets7@ 8.827 9.128
@21-blockSets7@ 9.128 9.429
@22-blockSets7@ 9.429 9.73
@23-blockSets7@ 9.73 10.031
@24-blockSets7@ 10.031 10.332
@25-blockSets7@ 10.332 10.633
@26-blockSets7@ 10.633 10.934
@27-blockSets7@ 10.934 11.235
@28-blockSets7@ 11.235 11.536
@29-blockSets7@ 11.536 11.837
@30-blockSets7@ 11.837 12.138
@31-blockSets7@ 12.138 12.409
@32-blockSets7@ 12.409 12.68
@33-blockSets7@ 12.68 13.001
@34-blockSets7@ 13.001 13.322
@35-blockSets7@ 13.322 13.643
@36-blockSets7@ 13.643 13.944
@37-blockSets7@ 13.944 14.245
@38-blockSets7@ 14.245 14.546
@39-blockSets7@ 14.546 14.847
@40-blockSets7@ 14.847 15.148
@41-blockSets7@ 15.148 15.449
@42-blockSets7@ 15.449 15.75
@43-blockSets7@ 15.75 16.051
@44-blockSets7@ 16.051 16.351
@45-blockSets7@ 16.351 16.651
@46-blockSets7@ 16.651 16.951
@47-blockSets7@ 16.951 17.251
@48-blockSets7@ 17.251 17.401
@49-blockSets7@ 17.401 17.701
@50-blockSets7@ 17.701 18.001
@51-blockSets7@ 18.001 18.301
@52-blockSets7@ 18.301 18.601
@53-blockSets7@ 18.601 18.901
@54-blockSets7@ 18.901 19.201
@55-blockSets7@ 19.201 19.501
@56-blockSets7@ 19.501 19.801
@57-blockSets7@ 19.801 20.101
@58-blockSets7@ 20.101 20.401
@59-blockSets7@ 20.401 20.701
@60-blockSets7@ 20.701 21.001
@61-blockSets7@ 21.001 21.301
@62-blockSets7@ 21.301 21.601
@63-blockSets7@ 21.601 21.901
@64-blockSets7@ 21.901 22.201
@65-blockSets7@ 22.201 22.501
@66-blockSets7@ 22.501 22.601
@67-blockSets7@ 22.601 22.901
@68-blockSets7@ 22.901 23.201
@69-blockSets7@ 23.201 23.601
@70-blockSets7@ 23.601 23.801
@71-blockSets7@ 23.801 24.101
@72-blockSets7@ 24.101 24.401
@73-blockSets7@ 24.401 24.701
@74-blockSets7@ 24.701 25.001
@75-blockSets7@ 25.001 25.301
@76-blockSets7@ 25.301 25.601
@77-blockSets7@ 25.601 25.901
@78-blockSets7@ 25.901 26.201
@79-blockSets7@ 26.201 26.501
@80-blockSets7@ 26.501 26.801
@81-blockSets7@ 26.801 27.101
@82-blockSets7@ 27.101 27.401
@83-blockSets7@ 27.401 27.701
@84-blockSets7@ 27.701 27.851
@85-blockSets7@ 27.851 28.151
@86-blockSets7@ 28.151 28.451
@87-blockSets7@ 28.451 28.751
@88-blockSets7@ 28.751 29.051
@89-blockSets7@ 29.051 29.351
@90-blockSets7@ 29.351 29.651
@91-blockSets7@ 29.651 29.951
@92-blockSets7@ 29.951 30.251
@93-blockSets7@ 30.251 30.551
@94-blockSets7@ 30.551 30.851
@95-blockSets7@ 30.851 31.151
@96-blockSets7@ 31.151 31.451
@97-blockSets7@ 31.451 31.752
@98-blockSets7@ 31.752 32.053
@99-blockSets7@ 32.053 32.354
@100-blockSets7@ 32.354 32.655
@101-blockSets7@ 32.655 32.956
@102-blockSets7@ 32.956 33.257
@103-blockSets7@ 33.257 33.558
@104-blockSets7@ 33.558 33.859
@105-blockSets7@ 33.859 34.16
@106-blockSets7@ 34.16 34.461
@107-blockSets7@ 34.461 34.762
@108-blockSets7@ 34.762 35.063
@109-blockSets7@ 35.063 35.414
@110-blockSets7@ 35.414 35.665
@111-blockSets7@ 35.665 35.966
@112-blockSets7@ 35.966 36.267
@113-blockSets7@ 36.267 36.568
@114-blockSets7@ 36.568 36.869
@115-blockSets7@ 36.869 37.17
@116-blockSets7@ 37.17 37.471
@117-blockSets7@ 37.471 37.772
@118-blockSets7@ 37.772 38.073
@119-blockSets7@ 38.073 38.374
@120-blockSets7@ 38.374 38.675
@121-blockSets7@ 38.675 38.976
@122-blockSets7@ 38.976 39.277
@123-blockSets7@ 39.277 39.578
@124-blockSets7@ 39.578 39.879
@125-blockSets7@ 39.879 40.18
