BlockID StartX[Km] EndX[Km]
@0-blockSets44@ 1.75 1.765
@1-blockSets44@ 1.765 1.78
@0-blockSets45@ 1.75 1.765
@1-blockSets45@ 1.765 1.78
@0-blockSets46@ 2.037 2.0925
@1-blockSets46@ 2.0925 2.12
@0-blockSets47@ 2.362 2.441
@0-blockSets48@ 3.849 4.279
@1-blockSets48@ 4.279 4.711
@0-blockSets49@ 4.101 4.531
@1-blockSets49@ 4.531 4.65
@2-blockSets49@ 4.65 4.961
@3-blockSets49@ 4.961 5.207
@4-blockSets49@ 5.207 5.231
@5-blockSets49@ 5.231 5.241
@0-blockSets50@ 5.231 5.661
@1-blockSets50@ 5.661 6.091
@2-blockSets50@ 6.091 6.521
@3-blockSets50@ 6.521 6.951
@4-blockSets50@ 6.951 7.042
@0-blockSets51@ 10.487 10.917
@1-blockSets51@ 10.917 11.347
@2-blockSets51@ 11.347 11.777
@3-blockSets51@ 11.777 12.207
@4-blockSets51@ 12.207 12.637
@5-blockSets51@ 12.637 12.771
@6-blockSets51@ 12.771 12.852
@0-blockSets52@ 12.7 12.7775
@1-blockSets52@ 12.7775 12.855
@0-blockSets53@ 13.653 13.68
@1-blockSets53@ 13.68 13.707
@0-blockSets54@ 18.952 18.967
@1-blockSets54@ 18.967 19.321
@2-blockSets54@ 19.321 19.336
@0-blockSets55@ 22.712 23.142
@1-blockSets55@ 23.142 23.572
@2-blockSets55@ 23.572 23.857
@0-blockSets56@ 22.877 23.307
@1-blockSets56@ 23.307 23.737
@2-blockSets56@ 23.737 24.167
@3-blockSets56@ 24.167 24.232
@4-blockSets56@ 24.232 24.597
@5-blockSets56@ 24.597 25.027
@6-blockSets56@ 25.027 25.457
@7-blockSets56@ 25.457 25.887
@8-blockSets56@ 25.887 26.317
@9-blockSets56@ 26.317 26.747
@10-blockSets56@ 26.747 27.177
@11-blockSets56@ 27.177 27.607
@12-blockSets56@ 27.607 28.037
@13-blockSets56@ 28.037 28.467
@14-blockSets56@ 28.467 28.897
@15-blockSets56@ 28.897 29.327
@16-blockSets56@ 29.327 29.757
@17-blockSets56@ 29.757 30.187
@18-blockSets56@ 30.187 30.402
@19-blockSets56@ 30.402 30.617
@20-blockSets56@ 30.617 30.777
@21-blockSets56@ 30.777 31.232
@22-blockSets56@ 31.232 31.3145
@23-blockSets56@ 31.3145 31.477
@24-blockSets56@ 31.477 31.907
@25-blockSets56@ 31.907 32.337
@26-blockSets56@ 32.337 32.767
@27-blockSets56@ 32.767 33.197
@28-blockSets56@ 33.197 33.53
@29-blockSets56@ 33.53 33.627
@30-blockSets56@ 33.627 34.057
@31-blockSets56@ 34.057 34.487
@32-blockSets56@ 34.487 34.917
@33-blockSets56@ 34.917 35.1975
@34-blockSets56@ 35.1975 35.347
@35-blockSets56@ 35.347 35.777
@36-blockSets56@ 35.777 36.207
