BlockID StartX[Km] EndX[Km]
@1-blockSets2@-11.676000/@2-blockSets4@-11.846000 10.987 13.67
@2-blockSets2@-12.749000/@2-blockSets0@-12.920000 12.543 14.081
@2-blockSets2@-13.140000/@2-blockSets4@-13.220000 12.543 13.67
@6-blockSets2@-19.050000/@6-blockSets1@-19.183000 18.823 19.943
@12-blockSets2@-27.430000/@0-blockSets11@-27.620000 26.828 28.185
@34-blockSets2@-66.550000/@35-blockSets4@-66.750000 66.395 67.647
@42-blockSets2@-78.000000/@36-blockSets14@-78.392000 77.84 78.752
@1-blockSets4@-11.140000/@1-blockSets2@-11.240000 10.156 12.543
@1-blockSets4@-11.340000/@1-blockSets2@-11.420000 10.156 12.543
@2-blockSets4@-12.800000/@2-blockSets1@-12.980000 11.676 13.67
@2-blockSets4@-12.980000/@2-blockSets2@-13.060000 11.676 14.081
@6-blockSets4@-18.960000/@6-blockSets2@-19.050000 18.033 19.943
@12-blockSets4@-27.430000/@0-blockSets12@-27.620000 26.235 27.895
@34-blockSets4@-65.695000/@33-blockSets2@-65.895000 63.727 66.395
@42-blockSets4@-78.414000/@36-blockSets14@-78.489000 77.775 78.752
@1-blockSets5@-10.987000/@1-blockSets4@-11.140000 10.694 11.676
@1-blockSets6@-11.140000/@1-blockSets4@-11.340000 10.694 11.676
@0-blockSets7@-17.655000/@0-blockSets9@-17.805500 17.6 17.877
@2-blockSets7@-18.855000/@6-blockSets4@-18.960000 18.732 19.943
@2-blockSets8@-18.644000/@2-blockSets9@-18.710000 18.643 18.75
@0-blockSets9@-17.805500/@0-blockSets8@-17.877000 17.78 17.95
@2-blockSets9@-18.710000/@2-blockSets7@-18.855000 18.644 18.95
@2-blockSets10@-27.155000/@12-blockSets1@-27.206000 27.154 27.209
@1-blockSets11@-28.790000/@0-blockSets15@-28.900000 28.185 28.935
@2-blockSets11@-29.500000/@15-blockSets1@-30.040000 29.3 30.893
@4-blockSets11@-32.345000/@2-blockSets14@-32.423000 32.078 32.905
@4-blockSets11@-32.480000/@4-blockSets12@-32.560000 32.078 32.83
@5-blockSets11@-33.322000/@4-blockSets13@-33.480000 33.207 34.6
@2-blockSets12@-29.323000/@2-blockSets11@-29.470000 28.935 30.77
@4-blockSets12@-32.690000/@0-blockSets16@-32.720000 31.395 32.83
@6-blockSets12@-33.480000/@3-blockSets14@-33.560000 32.987 34.212
@2-blockSets13@-32.423000/@0-blockSets25@-32.560000 32.078 32.905
@2-blockSets13@-32.690000/@0-blockSets26@-32.720000 32.078 32.735
@3-blockSets13@-32.720000/@2-blockSets14@-32.800000 32.7 32.905
@4-blockSets13@-33.570000/@3-blockSets14@-33.620000 33.243 34.212
@11-blockSets13@-44.831000/@10-blockSets14@-44.910000 44.497 45.351
@11-blockSets13@-45.270000/@1-blockSets19@-45.360000 44.497 46.097
@12-blockSets13@-46.280000/@11-blockSets14@-46.360000 46.097 46.847
@25-blockSets13@-65.488000/@26-blockSets14@-65.545000 64.762 65.725
@25-blockSets13@-65.545000/@4-blockSets27@-65.615000 64.762 65.725
@26-blockSets13@-66.305000/@27-blockSets14@-66.410000 66.112 67.184
@29-blockSets13@-70.765000/@0-blockSets36@-70.829000 70.35 70.9
@29-blockSets13@-71.520000/@32-blockSets14@-71.601000 70.35 72.74
@2-blockSets14@-32.345000/@2-blockSets13@-32.423000 31.475 32.7
@2-blockSets14@-32.480000/@2-blockSets13@-32.560000 31.475 32.7
@3-blockSets14@-33.650000/@4-blockSets16@-33.700000 32.905 34.218
@3-blockSets14@-33.720000/@4-blockSets13@-33.800000 32.905 34.6
@10-blockSets14@-44.910000/@0-blockSets20@-44.960000 44.122 45.04
@10-blockSets14@-44.960000/@11-blockSets13@-45.040000 44.122 46.097
@11-blockSets14@-45.950000/@0-blockSets21@-46.052000 45.351 46.098
@11-blockSets14@-46.097000/@0-blockSets22@-46.218000 45.351 46.3
@11-blockSets14@-46.360000/@12-blockSets13@-46.444000 45.351 47.495
@26-blockSets14@-65.317000/@25-blockSets13@-65.395000 64.124 66.112
@26-blockSets14@-65.545000/@0-blockSets28@-65.615000 64.124 65.64
@27-blockSets14@-66.465000/@26-blockSets13@-66.545000 65.725 67.53
@32-blockSets14@-71.751000/@0-blockSets37@-71.824000 71.36 71.84
@32-blockSets14@-71.936000/@30-blockSets13@-71.998000 71.36 73.211
@36-blockSets14@-78.414000/@34-blockSets13@-78.489000 77.279 78.752
@2-blockSets15@-29.470000/@15-blockSets1@-29.580000 29.372 30.893
@0-blockSets16@-32.720000/@0-blockSets17@-32.830000 32.69 32.837
@4-blockSets16@-33.650000/@3-blockSets14@-33.700000 33.62 34.212
@3-blockSets17@-33.620000/@4-blockSets16@-33.650000 33.376 34.218
@4-blockSets17@-33.620000/@4-blockSets16@-33.650000 33.62 34.218
@2-blockSets18@-33.341000/@3-blockSets17@-33.458000 33.339 33.62
@2-blockSets19@-46.101000/@12-blockSets13@-46.218000 46.097 47.495
@2-blockSets20@-45.830000/@11-blockSets14@-45.900000 45.79 46.847
@0-blockSets21@-46.052000/@11-blockSets14@-46.097000 45.9 46.847
@0-blockSets22@-46.218000/@11-blockSets14@-46.280000 46.1 46.847
@0-blockSets23@-32.484000/@17-blockSets1@-32.714000 32.4 33.047
@1-blockSets23@-32.650000/@0-blockSets24@-32.680000 32.5 32.774
@0-blockSets24@-32.680000/@0-blockSets25@-32.720000 32.65 32.905
@0-blockSets25@-32.720000/@1-blockSets26@-32.770000 32.5 32.905
@2-blockSets25@-33.318000/@3-blockSets26@-33.480000 33.3 33.5
@3-blockSets26@-33.480000/@4-blockSets13@-33.560000 33.322 34.6
@3-blockSets27@-65.313000/@25-blockSets13@-65.488000 64.794 66.112
@4-blockSets27@-65.615000/@25-blockSets13@-65.675000 65.6 66.112
@6-blockSets27@-66.139000/@26-blockSets13@-66.305000 66.13 67.53
@0-blockSets28@-65.615000/@0-blockSets31@-65.725000 65.6 65.73
@1-blockSets28@-65.645000/@0-blockSets29@-65.725000 65.64 65.73
@3-blockSets28@-66.410000/@27-blockSets14@-66.465000 66.287 67.184
@2-blockSets29@-66.370000/@3-blockSets28@-66.410000 66.324 66.43
@2-blockSets30@-66.211000/@3-blockSets32@-66.261000 66.1 66.3
@0-blockSets31@-65.725000/@0-blockSets32@-65.738000 65.715 65.78
@1-blockSets31@-65.738000/@0-blockSets30@-65.780000 65.73 65.782
@3-blockSets31@-66.211000/@2-blockSets32@-66.225000 66.1 66.245
@0-blockSets32@-65.738000/@0-blockSets33@-65.780000 65.725 65.797
@4-blockSets32@-66.347000/@2-blockSets29@-66.370000 66.3 66.4
@0-blockSets33@-65.780000/@0-blockSets34@-65.797000 65.76 65.81
@2-blockSets33@-66.270000/@4-blockSets32@-66.347000 66.225 66.45
@2-blockSets34@-66.261000/@2-blockSets33@-66.270000 66.225 66.3
@2-blockSets35@-71.419000/@2-blockSets36@-71.457000 71.4 71.5
@0-blockSets36@-70.829000/@0-blockSets35@-70.847000 70.82 70.9
@2-blockSets36@-71.457000/@29-blockSets13@-71.520000 71.419 71.86
@2-blockSets37@-71.998000/@32-blockSets14@-72.469000 71.95 72.74
